x,y
0.9618878,-1.1552892
-2.439038,1.1296947
-2.4498284,-1.4126621
-2.1288936,1.8270195
0.13217269,1.952036
-2.2281177,2.190709
-1.7481568,1.6212145
-2.5657527,-0.9873936
-1.8851467,1.2230963
-0.53844184,-1.8918238
1.5048589,-1.9786079
-2.4792361,-1.8233867
0.72584677,-2.6938534
-0.9442691,-1.3548006
-0.20419897,-2.8149734
-2.5150511,0.37484312
-3.0227265,-2.928539
0.7192172,1.7161534
-0.9890435,5.007477
0.77303046,-1.8728377
-2.2682064,-2.4804575
0.10552448,0.86748725
0.9731135,-2.2757096
-2.1560853,0.78132457
-2.6395905,-0.6760608
-0.31786746,-4.2383704
2.8036838,-1.1726158
1.2542589,-2.9157982
-2.0705433,1.5188282
-0.628965,-3.0257814
